"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-04-20","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","69",",,7","44",",,7","48",",,7,0700",,,,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-04-21","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","70",",,7","48",",,7","57",",,7,0700",,,,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-04-22","0.01",",,7,0700","0.0",",,7,","0.0",",,7,","73",",,7","56",",,7","59",",,7,0700","0.0",",,7","    1",",,7",,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-04-23","0.00","T,,7,0700","0.0",",,7,","0.0",",,7,","72",",,7","55",",,7","56",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-04-24","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","63",",,7","36",",,7","41",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-04-25","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","68",",,7","41",",,7","47",",,7,0700",,,,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-04-26","0.08",",,7,0700","0.0",",,7,","0.0",",,7,","78",",,7","47",",,7","62",",,7,0700",,,,,"    1",",,7",,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-04-27","0.00","T,,7,0700","0.0",",,7,","0.0",",,7,","75",",,7","40",",,7","42",",,7,0700",,,,,"    1",",,7",,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-04-28","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","64",",,7","41",",,7","47",",,7,0700",,,,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-04-29","0.63",",,7,0700","0.0",",,7,","0.0",",,7,","48",",,7","42",",,7","45",",,7,0700","0.0",",,7","    1",",,7",,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-04-30","0.04",",,7,0700","0.0",",,7,","0.0",",,7,","47",",,7","42",",,7","46",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-01","0.43",",,7,0700","0.0",",,7,","0.0",",,7,","54",",,7","45",",,7","50",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-02","0.28",",,7,0700","0.0",",,7,","0.0",",,7,","52",",,7","50",",,7","52",",,7,0700",,,,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-03","0.09",",,7,0700","0.0",",,7,","0.0",",,7,","71",",,7","48",",,7","48",",,7,0700",,,,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-04","0.00","T,,7,0700","0.0",",,7,","0.0",",,7,","60",",,7","47",",,7","52",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-05","0.23",",,7,0700","0.0",",,7,",,,"57",",,7","49",",,7","50",",,7,0700",,,,,"    1",",,7",,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-06","0.00","T,,7,0700","0.0",",,7,","0.0",",,7,","58",",,7","50",",,7","53",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-07","0.41",",,7,0700","0.0",",,7,","0.0",",,7,","55",",,7","48",",,7","49",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-08","0.17",",,7,0700","0.0",",,7,","0.0",",,7,","63",",,7","49",",,7","51",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-05-09","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","62",",,7","47",",,7","53",",,7,0700",,,,,,,,,,,,,,
